,userId,age,gender,occupation,zipCode
0,1,24,M,technician,85711
3,4,24,M,technician,43537
6,7,57,M,administrator,91344
11,12,28,F,other,06405
19,20,42,F,homemaker,95660
21,22,25,M,writer,40206
25,26,49,M,engineer,21044
27,28,32,M,writer,55369
30,31,24,M,artist,10003
32,33,23,M,student,27510
44,45,29,M,programmer,50233
46,47,53,M,marketing,07102
48,49,23,F,student,76111
58,59,49,M,educator,08403
60,61,36,M,engineer,30040
66,67,17,M,student,60402
68,69,24,M,engineer,55337
71,72,48,F,administrator,73034
72,73,24,M,student,41850
74,75,24,M,entertainment,08816
81,82,50,M,programmer,22902
82,83,40,M,other,44133
88,89,43,F,administrator,68106
90,91,55,M,marketing,01913
94,95,31,M,administrator,10707
95,96,25,F,artist,75206
96,97,43,M,artist,98006
100,101,15,M,student,05146
104,105,24,M,engineer,94043
105,106,61,M,retired,55125
109,110,19,M,student,77840
113,114,27,M,programmer,75013
115,116,40,M,healthcare,97232
118,119,32,M,programmer,67401
124,125,30,M,lawyer,22202
128,129,36,F,marketing,07039
129,130,20,M,none,60115
132,133,53,M,engineer,78602
142,143,42,M,technician,08832
143,144,53,M,programmer,20910
147,148,33,M,engineer,97006
158,159,23,F,student,55346
161,162,25,M,artist,15610
163,164,47,M,healthcare,80123
165,166,47,M,educator,55113
167,168,48,M,other,80127
168,169,52,F,other,53705
169,170,53,F,healthcare,30067
171,172,55,M,marketing,22207
177,178,26,M,other,49512
184,185,53,F,librarian,97403
198,199,30,M,writer,17604
205,206,14,F,student,53115
207,208,43,M,engineer,01720
216,217,22,M,other,11727
218,219,32,M,programmer,43212
219,220,30,M,librarian,78205
222,223,19,F,student,47906
225,226,28,M,student,92103
226,227,46,M,executive,60659
227,228,21,F,student,22003
230,231,48,M,librarian,01080
232,233,38,M,engineer,98682
235,236,44,F,writer,53214
236,237,49,M,administrator,63146
240,241,26,F,student,20001
247,248,25,M,student,37235
248,249,25,M,student,84103
252,253,26,F,librarian,22903
254,255,23,M,entertainment,07029
255,256,35,F,none,39042
259,260,40,F,artist,89801
271,272,33,M,scientist,53706
272,273,50,F,other,10016
273,274,20,F,student,55414
275,276,21,M,student,95064
276,277,35,F,administrator,55406
278,279,33,M,programmer,85251
283,284,40,M,executive,92629
286,287,21,M,salesman,31211
299,300,26,F,programmer,55106
303,304,22,F,student,71701
308,309,40,M,scientist,70802
317,318,65,M,retired,06518
322,323,21,M,student,19149
325,326,41,M,administrator,15235
326,327,22,M,student,11101
334,335,45,M,executive,33775
335,336,23,M,salesman,42101
348,349,68,M,retired,61455
350,351,61,M,educator,49938
352,353,25,M,scientist,28480
356,357,26,M,executive,98133
367,368,18,M,student,92113
371,372,25,F,student,66046
374,375,17,M,entertainment,37777
375,376,28,F,other,10010
377,378,35,M,student,02859
