userId,gender,age_group,recommendations
5530,Female,Teenager (0-20 years),[]
711,Male,Young (21-40 years),"[1230, 1682, 3897]"
4924,Female,Young (21-40 years),"[858, 296, 318, 2959, 2858, 1213, 50, 593, 912]"
2154,Male,Young (21-40 years),"[356, 318, 1197, 1682, 1968, 1704, 1270]"
1273,Male,Young (21-40 years),[]
2317,Female,Adult (41-60 years),"[356, 1682, 1265, 318, 1784, 1704, 1732, 1393]"
2095,Male,Adult (41-60 years),"[356, 318, 296, 1704, 1682, 3147, 2329, 2762, 1732]"
3128,Male,Teenager (0-20 years),[]
743,Female,Teenager (0-20 years),"[1230, 1197, 1394, 3911, 39, 1285, 2918, 223, 2502, 955]"
297,Male,Teenager (0-20 years),"[1270, 356, 318, 1682]"
3695,Male,Young (21-40 years),[]
1143,Male,Adult (41-60 years),"[296, 318, 1213, 1732, 1036, 1230, 593, 50, 1197, 1198]"
409,Male,Teenager (0-20 years),[]
5286,Male,Adult (41-60 years),"[1230, 1265, 1307, 1197, 1394, 39, 2791, 1641, 3481, 2502]"
3950,Male,Young (21-40 years),"[2502, 231, 1923, 1517, 2273, 2413, 3948, 1265]"
1621,Male,Young (21-40 years),"[1213, 318, 2959, 296, 2858, 593, 110, 2762]"
2054,Male,Young (21-40 years),[]
5594,Female,Adult (41-60 years),"[912, 1204, 527, 1193, 1207, 593, 2858, 1617]"
5759,Female,Young (21-40 years),[]
866,Male,Teenager (0-20 years),"[1, 364, 586, 1197, 500, 837]"
806,Male,Young (21-40 years),"[1230, 910, 1259, 2858, 3104, 1198, 1282, 1262, 1204]"
656,Female,Adult (41-60 years),"[318, 296, 1221, 1230, 356, 912, 1704, 1225]"
4818,Female,Young (21-40 years),"[1270, 1198, 480, 1197, 1, 1097, 364, 1210]"
2516,Female,Adult (41-60 years),"[1307, 1265, 3114, 1197, 500, 595, 1682, 539]"
5671,Male,Young (21-40 years),"[356, 318, 1265, 296, 1682, 1732, 1197]"
