userId,gender,age_group,recommendations
205,Male,Young (21-40 years),"[1265, 296, 1197, 593, 2762, 1089, 589, 1198, 1617]"
218,Male,Young (21-40 years),"[356, 318, 1265, 296, 1682, 1704, 1732, 1197]"
245,Male,Young (21-40 years),[]
261,Male,Young (21-40 years),[]
714,Male,Teenager (0-20 years),[]
769,Male,Adult (41-60 years),"[912, 296, 318, 1221, 1213, 1230, 1208, 904, 3671, 593]"
841,Female,Adult (41-60 years),"[318, 356, 296, 1682, 593, 1704, 2858, 2762, 50]"
915,Male,Young (21-40 years),"[593, 1200, 1036, 1258, 589, 2959, 457, 1387, 1487]"
1146,Female,Teenager (0-20 years),[]
1634,Female,Adult (41-60 years),"[1307, 356, 318, 1197, 1682, 3147, 1704, 364]"
1798,Male,Adult (41-60 years),"[296, 318, 1213, 2959, 1682]"
1835,Male,Young (21-40 years),[]
1913,Male,Young (21-40 years),"[364, 595, 588, 2081, 3114, 1907]"
2014,Male,Teenager (0-20 years),"[1, 356, 296, 318, 1197, 1270, 1198, 593]"
2261,Male,Young (21-40 years),[]
3467,Male,Young (21-40 years),"[912, 1230, 953, 318, 1136, 1207, 1265, 356]"
4151,Male,Adult (41-60 years),"[1230, 1265, 318, 296, 356, 1682, 1704]"
4480,Male,Young (21-40 years),[]
4610,Female,Young (21-40 years),"[1265, 1197, 1036, 1307, 1270, 587, 593, 2413, 1682]"
4851,Male,Teenager (0-20 years),"[1704, 318, 296, 2959, 1682, 2028, 1732, 356, 593]"
4945,Male,Adult (41-60 years),"[318, 296, 1230, 593, 1221, 1200, 1206, 3671]"
5252,Male,Young (21-40 years),"[912, 318, 296, 1221, 527, 1213, 1193, 593, 111]"
5337,Female,Young (21-40 years),"[1307, 1, 1197, 1265, 595, 1270, 2081, 2716, 539]"
5557,Male,Young (21-40 years),"[356, 318, 1682, 1265, 1732, 2329, 1197, 1704, 3147]"
5879,Male,Young (21-40 years),"[1036, 541, 480, 589, 1200, 2985, 2916, 101]"
