userId,recommended_item_ids_in_db,gt,original_recommendations
326,"[2791, 1307, 1219, 1230, 1197, 593]","[1219, 1387, 933, 750, 1958, 3361, 2634, 3897, 3479, 2529, 2398, 1271, 3099, 2501, 2745, 2140, 589, 468, 648, 2291, 2359, 3060, 3201, 3107, 1270, 2967, 952, 3671, 3394, 1197, 597, 2139, 1394, 1968, 2929, 1617, 1302, 1124, 2065, 2987, 3675, 1291, 1948, 1376, 3363, 2302, 2944, 21, 592, 281, 2420, 1935, 1961, 2300, 3684, 377, 3061, 1206, 3545, 953, 2762, 903, 1500]","['""Eternal Sunshine of the Spotless Mind"" (2004)', '""Airplane!"" (1980)', '""The Shining"" (1980)', '""When Harry Met Sally..."" (1989)', '""Psycho"" (1960)', '""Annie Hall"" (1977)', '""The Exorcist"" (1973)', '""The Princess Bride"" (1987)', '""The Godfather"" (1972)', '""The Silence of the Lambs"" (1991)']"
5863,"[318, 296, 1197, 1198, 858, 1270, 593, 1968, 480]","[1617, 2762]","['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Princess Bride (1987)', 'Raiders of the Lost Ark (1981)', 'The Godfather (1972)', 'Back to the Future (1985)', 'The Silence of the Lambs (1991)', 'The Matrix (1999)', 'The Breakfast Club (1985)', 'Jurassic Park (1993)']"
1799,"[296, 318, 2959, 356, 1213, 593, 480, 1682, 1240]","[1249, 3246, 480, 1266, 337, 523, 535, 3951, 1639, 1095, 2268, 150, 2303, 2291, 2289, 2391]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Fight Club (1999)', 'Forrest Gump (1994)', 'The Dark Knight (2008)', 'Goodfellas (1990)', 'The Silence of the Lambs (1991)', 'Jurassic Park (1993)', 'The Truman Show (1998)', 'The Terminator (1984)']"
224,"[318, 356, 296, 593, 1682, 2959, 3147, 2858, 2762]","[1265, 3466, 2282, 3052, 3072, 1678, 144, 2321, 3553, 1, 1079, 1653, 3793, 648, 1648, 3594, 2174, 2125, 955, 3555, 3536, 1207, 1197, 1748, 1968, 1083, 2628, 1095, 800, 1441]","['The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'Pulp Fiction (1994)', 'The Silence of the Lambs (1991)', 'The Truman Show (1998)', 'Eternal Sunshine of the Spotless Mind (2004)', 'Fight Club (1999)', 'The Green Mile (1999)', 'American Beauty (1999)', 'The Sixth Sense (1999)']"
159,"[39, 608, 1682, 1732, 296, 1197, 593, 1265, 2959, 318]","[3255, 2710, 2683]","['Clueless (1995)', 'Fargo (1996)', 'The Truman Show (1998)', 'The Big Lebowski (1998)', 'Pulp Fiction (1994)', 'The Princess Bride (1987)', 'The Silence of the Lambs (1991)', 'Groundhog Day (1993)', 'Fight Club (1999)', 'The Shawshank Redemption (1994)']"
1177,"[593, 356, 296, 1682, 1265, 318, 3147, 457, 1704, 110]","[551, 858, 3457, 3429, 593, 3932, 480, 3753]","['The Silence of the Lambs (1991)', 'Forrest Gump (1994)', 'Pulp Fiction (1994)', 'The Truman Show (1998)', 'Groundhog Day (1993)', 'The Shawshank Redemption (1994)', 'The Green Mile (1999)', 'The Fugitive (1993)', 'Good Will Hunting (1997)', 'Braveheart (1995)']"
2156,"[296, 858, 1198, 1258, 1270, 593, 1387, 1997, 1247, 1240]","[3525, 223, 296, 2700, 1088, 2315, 2170, 1371, 1356, 2787, 1126, 2094, 1580, 1197, 1573, 288, 3173, 1136, 2901, 1350, 1302, 1014, 1223, 2078, 24, 2471, 1884, 1253, 3771, 3476, 1387, 44, 2009, 1017, 1013, 367, 910, 610, 1487, 20, 2944, 260, 1200, 3930, 2081, 1584, 3253, 161]","['Pulp Fiction (1994)', 'The Godfather (1972)', 'Raiders of the Lost Ark (1981)', 'The Shining (1980)', 'Back to the Future (1985)', 'The Silence of the Lambs (1991)', 'Jaws (1975)', 'The Exorcist (1973)', 'The Graduate (1967)', 'The Terminator (1984)']"
886,"[2858, 2762, 3897, 3793, 3481, 3949, 3898]","[3751, 3328, 3182, 3865, 3783]","['American Beauty (1999)', 'The Sixth Sense (1999)', 'Almost Famous (2000)', 'Memento (2000)', 'High Fidelity (2000)', 'Requiem for a Dream (2000)', 'Snatch (2000)', 'Crouching Tiger, Hidden Dragon (2000)', 'Chocolat (2000)', 'O Brother, Where Art Thou? (2000)']"
3943,"[1307, 539, 2424, 597, 1569, 2671, 357, 39, 1393, 1777]","[62, 2384, 1265, 1393, 1, 52, 1210, 1569]","['""When Harry Met Sally..."" (1989)', '""Sleepless in Seattle"" (1993)', '""You\'ve Got Mail"" (1998)', '""Pretty Woman"" (1990)', '""My Best Friend\'s Wedding"" (1997)', '""Notting Hill"" (1999)', '""Four Weddings and a Funeral"" (1994)', '""Clueless"" (1995)', '""Jerry Maguire"" (1996)', '""The Wedding Singer"" (1998)']"
1672,"[296, 318, 480, 364, 1213, 589, 1270, 593, 1197]","[21, 3114, 110, 518, 2433, 2794, 589]","['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Jurassic Park (1993)', 'The Lion King (1994)', 'Goodfellas (1990)', 'The Terminator 2: Judgment Day (1991)', 'Back to the Future (1985)', 'The Silence of the Lambs (1991)', 'The Princess Bride (1987)', 'The Matrix Reloaded (2003)']"
