userId,recommended_item_ids_in_db,gt,number_of_hits,original_recommendations
326,"[910, 1247, 1230, 2791, 1197, 1265, 296, 1213, 318, 356]","[1219, 1387, 933, 750, 1958, 3361, 2634, 3897, 3479, 2529, 2398, 1271, 3099, 2501, 2745, 2140, 589, 468, 648, 2291, 2359, 3060, 3201, 3107, 1270, 2967, 952, 3671, 3394, 1197, 597, 2139, 1394, 1968, 2929, 1617, 1302, 1124, 2065, 2987, 3675, 1291, 1948, 1376, 3363, 2302, 2944, 21, 592, 281, 2420, 1935, 1961, 2300, 3684, 377, 3061, 1206, 3545, 953, 2762, 903, 1500]",1,"['Some Like It Hot (1959)', 'The Graduate (1967)', 'Annie Hall (1977)', 'Airplane! (1980)', 'The Princess Bride (1987)', 'Groundhog Day (1993)', 'Pulp Fiction (1994)', 'Goodfellas (1990)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Big Lebowski (1998)', 'Fargo (1996)', 'The Godfather (1972)', 'Casablanca (1942)', 'The Shining (1980)', 'The Silence of the Lambs (1991)', 'The Matrix (1999)', 'The Usual Suspects (1995)', 'Fight Club (1999)', 'The Green Mile (1999)']"
5863,"[1265, 1307, 1197, 39, 1968, 1682, 1732, 1230, 2918, 1247]","[1617, 2762]",0,"['Groundhog Day (1993)', 'When Harry Met Sally... (1989)', 'The Princess Bride (1987)', 'Clueless (1995)', 'The Breakfast Club (1985)', 'The Truman Show (1998)', 'The Big Lebowski (1998)', 'Annie Hall (1977)', ""Ferris Bueller's Day Off (1986)"", 'The Graduate (1967)', 'The Addams Family (1991)', 'The Birdcage (1996)', 'The Princess Diaries (2001)', 'Mrs. Doubtfire (1993)', 'Legally Blonde (2001)', ""Bridget Jones's Diary (2001)"", '10 Things I Hate About You (1999)', 'Mean Girls (2004)', 'Sleepless in Seattle (1993)', 'Love Actually (2003)']"
1799,"[356, 318, 1682, 3147, 1704, 1968, 1246, 1197, 1265, 593]","[1249, 3246, 480, 1266, 337, 523, 535, 3951, 1639, 1095, 2268, 150, 2303, 2291, 2289, 2391]",0,"['Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'The Truman Show (1998)', 'The Green Mile (1999)', 'Good Will Hunting (1997)', 'Eternal Sunshine of the Spotless Mind (2004)', 'The Notebook (2004)', 'The Pursuit of Happyness (2006)', 'The Breakfast Club (1985)', 'Dead Poets Society (1989)', 'The Princess Bride (1987)', 'Groundhog Day (1993)', 'The Silence of the Lambs (1991)', 'Fight Club (1999)', 'The Matrix (1999)', 'Braveheart (1995)', 'The Lion King (1994)', 'The Godfather (1972)', 'The Dark Knight (2008)', 'Inception (2010)', 'Enjoy your movie marathon!']"
224,"[356, 318, 858, 1197, 1035, 3147, 1682, 364, 1968, 318]","[1265, 3466, 2282, 3052, 3072, 1678, 144, 2321, 3553, 1, 1079, 1653, 3793, 648, 1648, 3594, 2174, 2125, 955, 3555, 3536, 1207, 1197, 1748, 1968, 1083, 2628, 1095, 800, 1441]",2,"['Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'The Godfather (1972)', 'The Princess Bride (1987)', 'The Sound of Music (1965)', 'The Green Mile (1999)', 'The Truman Show (1998)', 'The Lion King (1994)', 'The Notebook (2004)', 'The Breakfast Club (1985)', 'The Pursuit of Happyness (2006)', 'The Help (2011)', 'The Devil Wears Prada (2006)', 'The Great Gatsby (2013)', 'The Fault in Our Stars (2014)', 'The Grand Budapest Hotel (2014)', 'The Shawshank Redemption (1994)', 'The Dark Knight (2008)', 'The Social Network (2010)', 'The Matrix (1999)']"
159,"[597, 39, 1197, 539, 1777, 2572, 1569, 2671]","[3255, 2710, 2683]",0,"['Pretty Woman (1990)', 'Clueless (1995)', 'The Princess Bride (1987)', 'Sleepless in Seattle (1993)', 'The Wedding Singer (1998)', 'Legally Blonde (2001)', '10 Things I Hate About You (1999)', ""Bridget Jones's Diary (2001)"", 'Love Actually (2003)', ""My Best Friend's Wedding (1997)"", 'Notting Hill (1999)', 'The Devil Wears Prada (2006)', 'Mean Girls (2004)', 'Miss Congeniality (2000)', 'Bridget Jones: The Edge of Reason (2004)', 'The Proposal (2009)', 'How to Lose a Guy in 10 Days (2003)', '13 Going on 30 (2004)', 'The Holiday (2006)', 'Crazy, Stupid, Love. (2011)']"
1177,"[1307, 539, 597, 2671, 1197, 1569, 39, 2572, 1777]","[551, 858, 3457, 3429, 593, 3932, 480, 3753]",0,"['When Harry Met Sally... (1989)', 'Sleepless in Seattle (1993)', 'Pretty Woman (1990)', 'Notting Hill (1999)', 'Love Actually (2003)', ""Bridget Jones's Diary (2001)"", 'The Princess Bride (1987)', ""My Best Friend's Wedding (1997)"", 'Clueless (1995)', '10 Things I Hate About You (1999)', 'The Wedding Singer (1998)', 'Legally Blonde (2001)', 'Serendipity (2001)', 'The Notebook (2004)', 'Eternal Sunshine of the Spotless Mind (2004)', 'Silver Linings Playbook (2012)', 'Crazy, Stupid, Love. (2011)', 'La La Land (2016)', 'The Fault in Our Stars (2014)', 'Pride and Prejudice (2005)']"
2156,"[1198, 1270, 1197, 2716, 364, 1036, 480, 1240, 2005, 2918]","[3525, 223, 296, 2700, 1088, 2315, 2170, 1371, 1356, 2787, 1126, 2094, 1580, 1197, 1573, 288, 3173, 1136, 2901, 1350, 1302, 1014, 1223, 2078, 24, 2471, 1884, 1253, 3771, 3476, 1387, 44, 2009, 1017, 1013, 367, 910, 610, 1487, 20, 2944, 260, 1200, 3930, 2081, 1584, 3253, 161]",1,"['Raiders of the Lost Ark (1981)', 'Back to the Future (1985)', 'The Princess Bride (1987)', 'Ghostbusters (1984)', 'The Lion King (1994)', 'Die Hard (1988)', 'Jurassic Park (1993)', 'The Terminator (1984)', 'The Goonies (1985)', ""Ferris Bueller's Day Off (1986)"", 'The Shining (1980)', 'The Little Mermaid (1989)', 'Top Gun (1986)', 'The Matrix (1999)', 'The Breakfast Club (1985)', 'Jaws (1975)', 'The Sound of Music (1965)', 'The Karate Kid (1984)', 'The Exorcist (1973)', 'Toy Story 2 (1999)']"
886,"[318, 356, 296, 858, 1704, 3147, 1682, 1197, 3598]","[3751, 3328, 3182, 3865, 3783]",0,"['The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'Pulp Fiction (1994)', 'The Godfather (1972)', 'Good Will Hunting (1997)', 'The Green Mile (1999)', 'The Truman Show (1998)', 'Eternal Sunshine of the Spotless Mind (2004)', 'The Departed (2006)', 'The Grand Budapest Hotel (2014)', 'The Princess Bride (1987)', 'Amélie (2001)', 'The Social Network (2010)', 'The Notebook (2004)', 'The Pursuit of Happyness (2006)', 'La La Land (2016)', 'The Help (2011)', 'Silver Linings Playbook (2012)', 'Little Miss Sunshine (2006)', 'The Devil Wears Prada (2006)']"
3943,"[318, 356, 858, 593, 2959, 1213, 3147, 1197, 364, 1682]","[62, 2384, 1265, 1393, 1, 52, 1210, 1569]",0,"['The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Godfather (1972)', 'The Dark Knight (2008)', 'The Silence of the Lambs (1991)', 'Fight Club (1999)', 'The Matrix (1999)', 'Goodfellas (1990)', 'The Green Mile (1999)', 'The Princess Bride (1987)', 'The Lion King (1994)', 'The Truman Show (1998)', 'The Departed (2006)', 'Eternal Sunshine of the Spotless Mind (2004)', 'The Social Network (2010)', 'The Grand Budapest Hotel (2014)', 'Amélie (2001)', 'The Pursuit of Happyness (2006)', 'The Notebook (2004)', 'The Incredibles (2004)']"
1672,"[296, 318, 1213, 2959, 1221, 593, 1089, 50, 6, 1487]","[21, 3114, 110, 518, 2433, 2794, 589]",0,"['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Goodfellas (1990)', 'The Dark Knight (2008)', 'Fight Club (1999)', 'The Godfather: Part II (1974)', 'The Silence of the Lambs (1991)', 'Reservoir Dogs (1992)', 'The Usual Suspects (1995)', 'Heat (1995)', 'The Matrix (1999)', 'Seven (1995)', 'The Terminator (1984)', 'Jurassic Park (1993)', 'Back to the Future (1985)', 'The Lion King (1994)', 'The Big Lebowski (1998)', 'The Princess Bride (1987)', 'The Truman Show (1998)', 'The Green Mile (1999)']"
