userId,recommended_item_ids_in_db,gt,number_of_hits,original_recommendations
817,"[1036, 2000, 457, 380, 101, 377, 292, 2058, 1573]","[3039, 2053, 2794, 519, 3526, 2083, 1589, 1257, 1378, 1544, 2352, 1339, 1047, 1953, 2231, 2746, 996, 2141, 3261, 1658, 2011, 849, 474, 1500, 1722, 3623, 1249, 2986, 586, 2514, 2248, 3392, 3147, 1304, 2253, 1466, 2408, 1407, 259, 2387, 3608, 1393, 442, 546, 724, 852, 2915, 1584, 6, 3424, 2406, 1644, 3438, 1735, 3448, 2194, 2145, 164, 3444, 435, 2026, 70, 2028, 1197, 1320, 362]",0,"['Die Hard (1988)', 'Lethal Weapon (1987)', 'The Fugitive (1993)', 'True Lies (1994)', 'The Rock (1996)', 'Speed (1994)', 'The Mask (1994)', 'Point Break (1991)', 'The Negotiator (1998)', 'Face/Off (1997)']"
4302,"[1307, 539, 1265, 1197, 356, 318, 1704, 1784, 1682, 2858]","[2791, 1363, 920, 3361, 2065, 1682, 3418, 2953, 1956, 1213, 1376, 1747, 2420, 494, 3262, 3422, 1259, 2146, 1465, 1674, 1968, 150, 32, 2463, 1196, 3260, 2736, 1610, 2717, 2423, 2470, 349, 2942, 2371, 2243, 1672, 1909, 45, 1092]",1,"['When Harry Met Sally... (1989)', 'Sleepless in Seattle (1993)', 'Groundhog Day (1993)', 'The Princess Bride (1987)', 'Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'Good Will Hunting (1997)', 'As Good as It Gets (1997)', 'The Truman Show (1998)', 'American Beauty (1999)']"
326,"[539, 1197, 296, 457, 318, 780, 356, 593, 1682, 3147]","[1219, 1387, 933, 750, 1958, 3361, 2634, 3897, 3479, 2529, 2398, 1271, 3099, 2501, 2745, 2140, 589, 468, 648, 2291, 2359, 3060, 3201, 3107, 1270, 2967, 952, 3671, 3394, 1197, 597, 2139, 1394, 1968, 2929, 1617, 1302, 1124, 2065, 2987, 3675, 1291, 1948, 1376, 3363, 2302, 2944, 21, 592, 281, 2420, 1935, 1961, 2300, 3684, 377, 3061, 1206, 3545, 953, 2762, 903, 1500]",1,"['Sleepless in Seattle (1993)', 'The Princess Bride (1987)', 'Pulp Fiction (1994)', 'The Fugitive (1993)', 'The Shawshank Redemption (1994)', 'Independence Day (1996)', 'Forrest Gump (1994)', 'The Silence of the Lambs (1991)', 'The Truman Show (1998)', 'The Green Mile (1999)']"
4741,"[318, 6, 1089, 16, 50, 2268, 1487, 2959, 593]","[922, 904, 541]",0,"['The Shawshank Redemption (1994)', 'Heat (1995)', 'Reservoir Dogs (1992)', 'Casino (1995)', 'The Usual Suspects (1995)', 'A Few Good Men (1992)', 'Se7en (1995)', 'The Departed (2006)', 'Fight Club (1999)', 'The Silence of the Lambs (1991)']"
3858,"[1, 2005, 2717, 588, 1197, 364, 1097, 2081, 2174]","[1136, 892, 2057, 711, 1654, 158, 1955, 1197, 3175, 2987, 2942, 1235, 3157, 2140, 1204, 1380, 2067, 3635, 3099, 1947, 2406, 2080]",1,"['Toy Story (1995)', 'The Goonies (1985)', 'Ghostbusters II (1989)', 'Aladdin (1992)', 'The Princess Bride (1987)', 'The Lion King (1994)', 'E.T. the Extra-Terrestrial (1982)', 'The Little Mermaid (1989)', 'Beetlejuice (1988)', 'The Land Before Time (1988)']"
5163,"[2028, 527, 1208, 1222, 1090, 1263, 110, 2268, 2427]","[1722, 2671, 3070, 2646, 858, 1592, 1894, 1270, 2011, 905, 587, 2746, 1459, 2747, 1376, 1614, 2694, 1213, 2966, 1937, 1688, 1334, 2779, 224, 3061, 1958, 1278, 1358, 2418, 1234, 1032, 945, 866, 39, 2792, 1953, 52, 1054, 2860, 1225, 1208, 2001, 901, 3706, 2424, 3591, 597, 48, 2805, 1219, 497, 448, 1440, 3082, 1196, 1185, 2015, 367, 852, 1010, 1372, 1, 3527, 1171, 2653]",1,"['Saving Private Ryan (1998)', ""Schindler's List (1993)"", 'Apocalypse Now (1979)', 'Full Metal Jacket (1987)', 'Platoon (1986)', 'The Deer Hunter (1978)', 'Braveheart (1995)', 'A Few Good Men (1992)', 'The Thin Red Line (1998)', 'Born on the Fourth of July (1989)']"
231,"[1347, 1982, 1407, 2174, 2124, 551, 2716, 364, 588]","[2987, 720, 541, 1200, 1653, 3873, 1387, 1089, 904, 1394]",0,"['Nightmare on Elm Street (1984)', 'Halloween (1978)', 'Scream (1996)', 'Beetlejuice (1988)', 'The Addams Family (1991)', 'The Nightmare Before Christmas (1993)', 'Ghostbusters (1984)', 'The Lion King (1994)', 'Aladdin (1992)', 'The Mask (1994)']"
4779,"[904, 1262, 1198, 1036, 2000, 2791, 1197, 1610, 296]","[1259, 34, 3019, 1272, 971, 2067, 527, 1225, 1387, 3844, 541, 3827, 2019, 1252, 2973, 902, 1208, 3468, 2946, 1103, 906, 1950, 3134, 3606, 1278, 3037, 594, 910, 2130, 260, 3068, 3366, 235, 1234, 2871, 2064]",0,"['Rear Window (1954)', 'The Great Escape (1963)', 'The Sting (1973)', 'Raiders of the Lost Ark (1981)', 'Die Hard (1988)', 'Lethal Weapon (1987)', 'Airplane! (1980)', 'The Princess Bride (1987)', 'The Hunt for Red October (1990)', 'Pulp Fiction (1994)', 'Enjoy watching!']"
3732,"[912, 904, 1204, 858, 1252, 1198, 1090, 318, 296]","[1207, 1238, 1387, 954, 1203, 3363, 3070, 3196, 2973, 1247, 858, 1760, 3158, 1288, 913, 2396, 1213, 1284, 3489, 1196, 2857, 1265, 1250, 1244, 3675, 3467, 1028, 908, 2132, 25, 916, 2728, 1233, 1333, 1945, 969, 2014, 348]",1,"['Casablanca (1942)', 'Rear Window (1954)', 'Lawrence of Arabia (1962)', 'Sunset Boulevard (1950)', 'The Godfather (1972)', 'Chinatown (1974)', 'Raiders of the Lost Ark (1981)', 'Platoon (1986)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)']"
610,"[356, 296, 1213, 1197, 1682, 318, 1221, 1732, 1968]","[1, 173, 1374, 2664, 3114, 2352, 1097, 3033, 1320, 1584, 1304, 1221, 1527, 1136, 480, 1224, 3702, 3421, 3683, 2918, 3703, 3868, 3450]",1,"['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Goodfellas (1990)', 'The Princess Bride (1987)', 'The Truman Show (1998)', 'The Shawshank Redemption (1994)', 'The Godfather Part II (1974)', 'The Big Lebowski (1998)', 'Eternal Sunshine of the Spotless Mind (2004)', 'The Breakfast Club (1985)']"
716,"[364, 595, 588, 1, 1907, 2081, 2078, 48, 2139]","[2253, 709, 449, 1261, 1580, 356, 1969, 1127, 1647, 1, 3386, 2470, 1866, 2137, 1004, 2355, 1291, 1552, 2093, 2858, 2280, 517, 1663, 741, 480, 1266, 2028, 3527, 3948, 3578, 1544, 2105, 3802, 1270, 1092, 1175, 3275, 1921, 996, 32, 494, 3328, 2231, 225, 2826, 511, 2399, 224, 2791, 1205, 3502, 736, 2990]",1,"['The Lion King (1994)', 'Beauty and the Beast (1991)', 'Aladdin (1992)', 'Toy Story (1995)', 'Mulan (1998)', 'The Little Mermaid (1989)', 'The Jungle Book (1967)', 'Pocahontas (1995)', 'The Land Before Time (1988)', 'The Secret of NIMH (1982)']"
4033,"[296, 318, 2959, 1213, 1682, 593, 2858, 1732, 1487, 2762]","[2020, 2253, 198, 2706, 1663, 2194, 1037, 786, 427, 194, 552, 3114, 3260, 3538, 1747, 2374, 428, 315, 266, 2889, 350, 2144, 3536, 1213, 707, 1797, 2518, 1370, 1378, 3331, 1833, 2763, 1172, 1222, 2699, 2081, 272, 1377, 3256, 3020, 2111, 3105, 1225, 2561, 141, 767, 292, 2822, 3478, 3689, 2381, 490, 1199, 3033, 3763, 1552, 3744, 216, 11, 2976, 3793, 2472, 1918, 1895, 372, 1748, 1036, 2396, 2288, 2002, 1, 2433, 1357, 2463, 2605, 539, 3042, 2797, 3249, 1191, 1564, 2990, 2598, 1680, 1266, 2420, 3342, 2759, 1101, 3141, 1779, 2447, 2028, 25, 2041, 3438, 356, 185, 3844, 2457, 3326]",1,"['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Fight Club (1999)', 'Goodfellas (1990)', 'The Truman Show (1998)', 'The Silence of the Lambs (1991)', 'American Beauty (1999)', 'The Big Lebowski (1998)', 'Se7en (1995)', 'The Sixth Sense (1999)']"
934,"[912, 1212, 1198, 318, 296, 858, 541, 1197, 1240, 2959]","[237, 536, 256, 3361, 3712, 1588, 2961, 104, 2028, 1097, 2412, 3502, 141, 448, 569, 2628, 798, 612, 39, 3270, 3841, 2469, 102, 2245, 1513, 3004, 3072, 3809, 2405, 64, 2374, 289, 613, 453, 463, 3214, 2112, 11, 1680, 1923, 3394, 1888, 1091, 852, 3798, 2150, 1515, 182, 3358, 412, 529, 1135, 2141, 1265, 2478, 2795, 3174, 1616, 2384, 801, 1556, 3302, 1834, 2002, 349, 432, 107, 673, 919, 241, 688, 2501, 1359, 3089, 356, 3911, 1124, 322, 1441, 377, 2094, 3106, 2335, 2406, 1912, 1259, 429, 3250, 2906, 1, 1911]",0,"['Casablanca (1942)', 'The Third Man (1949)', 'Raiders of the Lost Ark (1981)', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Godfather (1972)', 'Blade Runner (1982)', 'The Princess Bride (1987)', 'The Terminator (1984)', 'Fight Club (1999)']"
1004,"[2791, 1197, 586, 500, 1265, 344, 2, 1517, 231]","[2248, 743, 1460, 517, 2770, 3802, 316, 736, 1968, 861, 2109, 1282, 44, 1394, 3020, 1135, 3712, 1713, 3114, 2643, 3153, 1037, 2082, 2371, 2105, 239, 3033, 2947, 539, 2802, 435, 1297, 3771, 840, 48, 1597, 2916, 2143, 362, 589, 2625, 1707, 3174, 1881, 356, 364, 2134, 2374, 2012, 1222, 1100, 7, 2502, 780, 1479, 170, 1210, 2815, 1377, 2353, 1895, 2476, 2529, 3638, 3633, 3396, 590, 34, 2879, 1367, 1198, 2004, 1226, 1285, 2054, 3809, 3, 2000, 3697, 70, 2421, 11, 442, 1876, 1562, 2863, 3052, 762, 3763, 2991, 3552, 1918, 2375]",0,"['Airplane! (1980)', 'The Princess Bride (1987)', 'Home Alone (1990)', 'Mrs. Doubtfire (1993)', 'Groundhog Day (1993)', 'Ace Ventura: Pet Detective (1994)', 'Jumanji (1995)', 'Austin Powers: International Man of Mystery (1997)', 'The Mask (1994)', 'Dumb and Dumber (1994)']"
2810,"[1197, 899, 39, 2918, 1380, 2572, 1968, 2145]","[2709, 2424, 277, 780, 597, 2089, 1345, 2385, 2429, 2080, 274, 593, 2162, 27, 231, 2485, 1024, 2005, 368, 2421, 2154, 941, 1721, 1610, 2432, 1717, 3825, 364, 1388, 1615, 1562, 783, 1597, 3176, 1020, 104, 2506, 3081, 317, 2671, 3034, 1086, 419, 412, 3675, 1197, 920, 1968, 1544, 3615, 1167, 648, 2471, 110, 1029, 2053, 1479, 1399, 3489, 2398, 1582, 3174, 1286, 3259, 262, 3623]",2,"['""The Princess Bride"" (1987)', '""Singin\' in the Rain"" (1952)', '""Clueless"" (1995)', '""Ferris Bueller\'s Day Off"" (1986)', '""Grease"" (1978)', '""10 Things I Hate About You"" (1999)', '""The Breakfast Club"" (1985)', '""Pretty in Pink"" (1986)', '""Annie"" (1982)', '""Love Actually"" (2003)']"
