userId,recommended_item_ids_in_db,gt,original_recommendations
326,"[1198, 1270, 318, 480, 296, 1240, 356, 1036, 858]","[1219, 1387, 933, 750, 1958, 3361, 2634, 3897, 3479, 2529, 2398, 1271, 3099, 2501, 2745, 2140, 589, 468, 648, 2291, 2359, 3060, 3201, 3107, 1270, 2967, 952, 3671, 3394, 1197, 597, 2139, 1394, 1968, 2929, 1617, 1302, 1124, 2065, 2987, 3675, 1291, 1948, 1376, 3363, 2302, 2944, 21, 592, 281, 2420, 1935, 1961, 2300, 3684, 377, 3061, 1206, 3545, 953, 2762, 903, 1500]","['Raiders of the Lost Ark (1981)', 'Back to the Future (1985)', 'The Shawshank Redemption (1994)', 'Jurassic Park (1993)', 'The Matrix (1999)', 'Pulp Fiction (1994)', 'The Terminator (1984)', 'Forrest Gump (1994)', 'Die Hard (1988)', 'The Godfather (1972)']"
5863,"[296, 318, 1682, 2858, 593, 1704, 2762, 3147, 2959]","[1617, 2762]","['""Pulp Fiction"" (1994)', '""The Shawshank Redemption"" (1994)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Truman Show"" (1998)', '""American Beauty"" (1999)', '""The Silence of the Lambs"" (1991)', '""Good Will Hunting"" (1997)', '""The Sixth Sense"" (1999)', '""The Green Mile"" (1999)', '""Fight Club"" (1999)']"
1799,"[318, 2959, 50, 1487, 2858, 593, 1089, 6, 2268, 3147]","[1249, 3246, 480, 1266, 337, 523, 535, 3951, 1639, 1095, 2268, 150, 2303, 2291, 2289, 2391]","['The Shawshank Redemption (1994)', 'Fight Club (1999)', 'The Usual Suspects (1995)', 'Se7en (1995)', 'American Beauty (1999)', 'The Silence of the Lambs (1991)', 'Reservoir Dogs (1992)', 'Heat (1995)', 'A Few Good Men (1992)', 'The Green Mile (1999)']"
224,"[356, 1197, 318, 39, 1682, 296]","[1265, 3466, 2282, 3052, 3072, 1678, 144, 2321, 3553, 1, 1079, 1653, 3793, 648, 1648, 3594, 2174, 2125, 955, 3555, 3536, 1207, 1197, 1748, 1968, 1083, 2628, 1095, 800, 1441]","['""Forrest Gump"" (1994)', '""The Princess Bride"" (1987)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Shawshank Redemption"" (1994)', '""Clueless"" (1995)', '""The Truman Show"" (1998)', '""The Notebook"" (2004)', '""Pulp Fiction"" (1994)', '""The Devil Wears Prada"" (2006)', '""Love Actually"" (2003)']"
159,[3948],"[3255, 2710, 2683]","['Shrek (2001)', ""Bridget Jones's Diary (2001)"", 'Legally Blonde (2001)', 'Monsters, Inc. (2001)', 'Love Actually (2003)', 'The Princess Diaries (2001)', 'Meet the Parents (2000)', 'The Incredibles (2004)', 'Mean Girls (2004)', 'Finding Nemo (2003)']"
1177,"[39, 1682, 1569, 1197, 2671, 1393, 318, 356, 3147, 539]","[551, 858, 3457, 3429, 593, 3932, 480, 3753]","['Clueless (1995)', 'The Truman Show (1998)', ""My Best Friend's Wedding (1997)"", 'The Princess Bride (1987)', 'Notting Hill (1999)', 'Jerry Maguire (1996)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Green Mile (1999)', 'Sleepless in Seattle (1993)']"
2156,"[2791, 3671, 2716, 1270, 1197, 1265, 3868, 3253, 1517]","[3525, 223, 296, 2700, 1088, 2315, 2170, 1371, 1356, 2787, 1126, 2094, 1580, 1197, 1573, 288, 3173, 1136, 2901, 1350, 1302, 1014, 1223, 2078, 24, 2471, 1884, 1253, 3771, 3476, 1387, 44, 2009, 1017, 1013, 367, 910, 610, 1487, 20, 2944, 260, 1200, 3930, 2081, 1584, 3253, 161]","['""Airplane!"" (1980)', '""Blazing Saddles"" (1974)', '""Ghostbusters"" (1984)', '""Back to the Future"" (1985)', '""The Princess Bride"" (1987)', '""Groundhog Day"" (1993)', '""The Naked Gun: From the Files of Police Squad!"" (1988)', '""Wayne\'s World"" (1992)', '""The Goonies"" (1985)', '""Austin Powers: International Man of Mystery"" (1997)']"
886,"[2858, 1682, 318]","[3751, 3328, 3182, 3865, 3783]","['American Beauty (1999)', 'The Truman Show (1998)', 'Eternal Sunshine of the Spotless Mind (2004)', 'Lost in Translation (2003)', 'The Shawshank Redemption (1994)', 'Silver Linings Playbook (2012)', 'The Grand Budapest Hotel (2014)', 'The Departed (2006)', 'Little Miss Sunshine (2006)', 'The Notebook (2004)', 'Enjoy watching!']"
3943,"[356, 318, 1197, 364, 1265, 595, 1682, 3147, 1035, 2761]","[62, 2384, 1265, 1393, 1, 52, 1210, 1569]","['Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'The Princess Bride (1987)', 'The Lion King (1994)', 'Groundhog Day (1993)', 'Beauty and the Beast (1991)', 'The Truman Show (1998)', 'The Green Mile (1999)', 'The Sound of Music (1965)', 'The Iron Giant (1999)']"
1672,"[1270, 2716, 1197, 480, 1527, 1580, 1291, 1240]","[21, 3114, 110, 518, 2433, 2794, 589]","['Back to the Future (1985)', 'Ghostbusters (1984)', 'The Princess Bride (1987)', 'Jurassic Park (1993)', 'The Fifth Element (1997)', 'Men in Black (1997)', 'The Mask (1994)', 'Indiana Jones and the Last Crusade (1989)', 'The Terminator (1984)', 'The Matrix (1999)']"
