userId,recommended_item_ids_in_db,gt,number_of_hits,original_recommendations
817,"[1036, 2000, 589, 110, 2194, 1090, 1266, 1408, 2916, 457]","[3039, 2053, 2794, 519, 3526, 2083, 1589, 1257, 1378, 1544, 2352, 1339, 1047, 1953, 2231, 2746, 996, 2141, 3261, 1658, 2011, 849, 474, 1500, 1722, 3623, 1249, 2986, 586, 2514, 2248, 3392, 3147, 1304, 2253, 1466, 2408, 1407, 259, 2387, 3608, 1393, 442, 546, 724, 852, 2915, 1584, 6, 3424, 2406, 1644, 3438, 1735, 3448, 2194, 2145, 164, 3444, 435, 2026, 70, 2028, 1197, 1320, 362]",1,"['Die Hard (1988)', 'Lethal Weapon (1987)', 'Terminator 2: Judgment Day (1991)', 'Braveheart (1995)', 'The Untouchables (1987)', 'Platoon (1986)', 'Unforgiven (1992)', 'The Last of the Mohicans (1992)', 'Total Recall (1990)', 'The Fugitive (1993)', 'A Few Good Men (1992)', 'The Shawshank Redemption (1994)', 'Heat (1995)', 'The Rock (1996)', 'True Lies (1994)', 'The Matrix (1999)', 'Speed (1994)', 'The Silence of the Lambs (1991)', 'Brave (1997)', 'The Green Mile (1999)']"
4302,"[1036, 2000, 380, 457, 377, 420, 3104, 145, 2273, 368]","[2791, 1363, 920, 3361, 2065, 1682, 3418, 2953, 1956, 1213, 1376, 1747, 2420, 494, 3262, 3422, 1259, 2146, 1465, 1674, 1968, 150, 32, 2463, 1196, 3260, 2736, 1610, 2717, 2423, 2470, 349, 2942, 2371, 2243, 1672, 1909, 45, 1092]",0,"['Die Hard (1988)', 'Lethal Weapon (1987)', 'True Lies (1994)', 'The Fugitive (1993)', 'Speed (1994)', 'Beverly Hills Cop (1984)', 'Midnight Run (1988)', 'Bad Boys (1995)', 'Rush Hour (1998)', 'Maverick (1994)', 'Blazing Saddles (1974)', 'City Slickers (1991)', 'Shanghai Noon (2000)', 'The Mask (1994)', 'Ace Ventura: Pet Detective (1994)', 'Dumb and Dumber (1994)', 'Men in Black (1997)', 'The Rock (1996)', 'Con Air (1997)', 'The Last Boy Scout (1991)']"
326,"[1198, 1270, 2406, 2000, 1197, 1036, 2797, 2005, 420, 2716]","[1219, 1387, 933, 750, 1958, 3361, 2634, 3897, 3479, 2529, 2398, 1271, 3099, 2501, 2745, 2140, 589, 468, 648, 2291, 2359, 3060, 3201, 3107, 1270, 2967, 952, 3671, 3394, 1197, 597, 2139, 1394, 1968, 2929, 1617, 1302, 1124, 2065, 2987, 3675, 1291, 1948, 1376, 3363, 2302, 2944, 21, 592, 281, 2420, 1935, 1961, 2300, 3684, 377, 3061, 1206, 3545, 953, 2762, 903, 1500]",2,"['Raiders of the Lost Ark (1981)', 'Back to the Future (1985)', 'Romancing the Stone (1984)', 'Lethal Weapon (1987)', 'The Princess Bride (1987)', 'Die Hard (1988)', 'Big (1988)', 'The Goonies (1985)', 'Beverly Hills Cop (1984)', 'Ghostbusters (1984)', 'The Karate Kid (1984)', 'Dirty Dancing (1987)', 'The Terminator (1984)', ""Ferris Bueller's Day Off (1986)"", 'The Untouchables (1987)', 'The Lost Boys (1987)', 'Midnight Run (1988)', 'The Great Outdoors (1988)', 'The Blues Brothers (1980)', 'Beetlejuice (1988)']"
4741,"[2115, 1036, 2000, 1240, 1270, 1200, 3527, 2005, 1101, 2985]","[922, 904, 541]",0,"['Indiana Jones and the Temple of Doom (1984)', 'Die Hard (1988)', 'Lethal Weapon (1987)', 'The Terminator (1984)', 'Back to the Future (1985)', 'Aliens (1986)', 'Predator (1987)', 'The Goonies (1985)', 'Top Gun (1986)', 'RoboCop (1987)', 'Rambo: First Blood Part II (1985)', 'The Lost Boys (1987)', 'Total Recall (1990)', 'Terminator 2: Judgment Day (1991)', 'Jurassic Park (1993)', 'Speed (1994)', 'True Lies (1994)', 'Braveheart (1995)', 'The Rock (1996)', 'Mission: Impossible (1996)']"
3858,"[296, 356, 318, 364, 110, 39, 17, 608, 1393, 3668]","[1136, 892, 2057, 711, 1654, 158, 1955, 1197, 3175, 2987, 2942, 1235, 3157, 2140, 1204, 1380, 2067, 3635, 3099, 1947, 2406, 2080]",0,"['Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'The Lion King (1994)', 'Braveheart (1995)', 'Clueless (1995)', 'Sense and Sensibility (1995)', 'Fargo (1996)', 'Jerry Maguire (1996)', 'Romeo + Juliet (1996)', 'Good Will Hunting (1997)', 'L.A. Confidential (1997)', 'Titanic (1997)', 'As Good as It Gets (1997)', 'Life Is Beautiful', 'The Truman Show (1998)', 'Shakespeare in Love (1998)', 'The Prince of Egypt (1998)', ""You've Got Mail (1998)"", 'The Wedding Singer (1998)']"
5163,"[1036, 2000, 541, 1240, 420, 1270, 1198, 2194, 2916, 3740]","[1722, 2671, 3070, 2646, 858, 1592, 1894, 1270, 2011, 905, 587, 2746, 1459, 2747, 1376, 1614, 2694, 1213, 2966, 1937, 1688, 1334, 2779, 224, 3061, 1958, 1278, 1358, 2418, 1234, 1032, 945, 866, 39, 2792, 1953, 52, 1054, 2860, 1225, 1208, 2001, 901, 3706, 2424, 3591, 597, 48, 2805, 1219, 497, 448, 1440, 3082, 1196, 1185, 2015, 367, 852, 1010, 1372, 1, 3527, 1171, 2653]",1,"['Die Hard (1988)', 'Lethal Weapon (1987)', 'Blade Runner (1982)', 'The Terminator (1984)', 'Beverly Hills Cop (1984)', 'Back to the Future (1985)', 'Raiders of the Lost Ark (1981)', 'The Untouchables (1987)', 'Total Recall (1990)', 'Big Trouble in Little China (1986)', 'The Fugitive (1993)', 'Ghostbusters (1984)', 'The Naked Gun: From the Files of Police Squad! (1988)', 'Escape from New York (1981)', 'The Princess Bride (1987)', 'Midnight Run (1988)', 'The Fifth Element (1997)', 'True Lies (1994)', 'The Blues Brothers (1980)', 'Men in Black (1997)']"
231,"[1721, 318, 356, 3147, 1197, 1266, 3494, 1258, 1347, 1997]","[2987, 720, 541, 1200, 1653, 3873, 1387, 1089, 904, 1394]",0,"['The Notebook (2004)', 'Brokeback Mountain (2005)', 'Titanic (1997)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Green Mile (1999)', 'The Princess Bride (1987)', 'Unforgiven (1992)', 'True Grit (2010)', 'The Revenant (2015)', 'The Shining (1980)', 'A Nightmare on Elm Street (1984)', 'The Exorcist (1973)', 'The Silence of the Lambs (1991)', 'The Sixth Sense (1999)', 'The Blair Witch Project (1999)', 'Scream (1996)', 'The Texas Chainsaw Massacre (1974)', 'Halloween (1978)', 'A Clockwork Orange (1971)']"
4779,"[2791, 1197, 1270, 2716, 2918, 1968, 3552, 1220, 420, 3039]","[1259, 34, 3019, 1272, 971, 2067, 527, 1225, 1387, 3844, 541, 3827, 2019, 1252, 2973, 902, 1208, 3468, 2946, 1103, 906, 1950, 3134, 3606, 1278, 3037, 594, 910, 2130, 260, 3068, 3366, 235, 1234, 2871, 2064]",0,"['Airplane! (1980)', 'The Princess Bride (1987)', 'Back to the Future (1985)', 'Ghostbusters (1984)', ""Ferris Bueller's Day Off (1986)"", 'The Breakfast Club (1985)', 'Caddyshack (1980)', 'The Blues Brothers (1980)', 'Beverly Hills Cop (1984)', 'Trading Places (1983)', 'When Harry Met Sally... (1989)', 'Big (1988)', 'Planes, Trains & Automobiles (1987)', 'Rain Man (1988)', 'Good Morning, Vietnam (1987)', 'Dead Poets Society (1989)', 'Stand by Me (1986)', 'The Color Purple (1985)', 'A Few Good Men (1992)', 'Groundhog Day (1993)']"
3732,"[912, 858, 1204, 527, 1250, 318, 1208, 1263, 2028, 1247]","[1207, 1238, 1387, 954, 1203, 3363, 3070, 3196, 2973, 1247, 858, 1760, 3158, 1288, 913, 2396, 1213, 1284, 3489, 1196, 2857, 1265, 1250, 1244, 3675, 3467, 1028, 908, 2132, 25, 916, 2728, 1233, 1333, 1945, 969, 2014, 348]",3,"['Casablanca (1942)', 'The Godfather (1972)', 'Lawrence of Arabia (1962)', ""Schindler's List (1993)"", 'The Bridge on the River Kwai (1957)', 'The Shawshank Redemption (1994)', 'Apocalypse Now (1979)', 'The Deer Hunter (1978)', 'Saving Private Ryan (1998)', 'The Graduate (1967)', 'The Maltese Falcon (1941)', 'The African Queen (1951)', 'The Great Dictator (1940)', 'The Third Man (1949)', 'Doctor Zhivago (1965)', 'The French Connection (1971)', 'A Clockwork Orange (1971)', 'The Dirty Dozen (1967)', 'The Sound of Music (1965)', 'The Bridge on the River Kwai (1957)']"
610,"[1198, 541, 1097, 1197, 1036, 1291, 589, 480, 110, 150]","[1, 173, 1374, 2664, 3114, 2352, 1097, 3033, 1320, 1584, 1304, 1221, 1527, 1136, 480, 1224, 3702, 3421, 3683, 2918, 3703, 3868, 3450]",2,"['Raiders of the Lost Ark (1981)', 'Blade Runner (1982)', 'E.T. the Extra-Terrestrial (1982)', 'The Princess Bride (1987)', 'Die Hard (1988)', 'Indiana Jones and the Last Crusade (1989)', 'Terminator 2: Judgment Day (1991)', 'Jurassic Park (1993)', 'Braveheart (1995)', 'Apollo 13 (1995)', 'Independence Day (1996)', 'The Fifth Element (1997)', 'Titanic (1997)', 'Men in Black (1997)', 'The Matrix (1999)', 'Saving Private Ryan (1998)', 'The Shawshank Redemption (1994)', 'Back to the Future (1985)', 'The Hunt for Red October (1990)', 'The Lion King (1994)']"
716,"[1, 2355, 3751, 364, 588, 2006, 1918, 2273, 6, 2542]","[2253, 709, 449, 1261, 1580, 356, 1969, 1127, 1647, 1, 3386, 2470, 1866, 2137, 1004, 2355, 1291, 1552, 2093, 2858, 2280, 517, 1663, 741, 480, 1266, 2028, 3527, 3948, 3578, 1544, 2105, 3802, 1270, 1092, 1175, 3275, 1921, 996, 32, 494, 3328, 2231, 225, 2826, 511, 2399, 224, 2791, 1205, 3502, 736, 2990]",2,"['Toy Story (1995)', ""A Bug's Life (1998)"", 'Shrek (2001)', 'Monsters, Inc. (2001)', 'The Incredibles (2004)', 'Finding Nemo (2003)', 'Ice Age (2002)', 'Chicken Run (2000)', 'The Lion King (1994)', 'Aladdin (1992)', 'The Mask of Zorro (1998)', 'Lethal Weapon 4 (1998)', 'Rush Hour (1998)', 'The Italian Job (2003)', ""Ocean's Eleven (2001)"", 'The Departed (2006)', 'Heat (1995)', 'Lock, Stock and Two Smoking Barrels (1998)', 'Snatch (2000)', 'The Big Lebowski (1998)']"
4033,"[318, 296, 356, 50, 110, 1487, 2762, 2858, 2959, 3147]","[2020, 2253, 198, 2706, 1663, 2194, 1037, 786, 427, 194, 552, 3114, 3260, 3538, 1747, 2374, 428, 315, 266, 2889, 350, 2144, 3536, 1213, 707, 1797, 2518, 1370, 1378, 3331, 1833, 2763, 1172, 1222, 2699, 2081, 272, 1377, 3256, 3020, 2111, 3105, 1225, 2561, 141, 767, 292, 2822, 3478, 3689, 2381, 490, 1199, 3033, 3763, 1552, 3744, 216, 11, 2976, 3793, 2472, 1918, 1895, 372, 1748, 1036, 2396, 2288, 2002, 1, 2433, 1357, 2463, 2605, 539, 3042, 2797, 3249, 1191, 1564, 2990, 2598, 1680, 1266, 2420, 3342, 2759, 1101, 3141, 1779, 2447, 2028, 25, 2041, 3438, 356, 185, 3844, 2457, 3326]",1,"['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Usual Suspects (1995)', 'Braveheart (1995)', 'Se7en (1995)', 'The Sixth Sense (1999)', 'American Beauty (1999)', 'Fight Club (1999)', 'The Matrix (1999)', 'The Green Mile (1999)', 'The Truman Show (1998)', 'Good Will Hunting (1997)', 'L.A. Confidential (1997)', 'The Fugitive (1993)', 'The Silence of the Lambs (1991)', 'Groundhog Day (1993)', 'Men in Black (1997)', ""There's Something About Mary (1998)"", 'Rush Hour (1998)']"
