userId,recommended_item_ids_in_db,gt,number_of_hits,original_recommendations
326,"[1270, 1197, 1265, 318, 296, 1732, 1213, 1682, 1968]","[1219, 1387, 933, 750, 1958, 3361, 2634, 3897, 3479, 2529, 2398, 1271, 3099, 2501, 2745, 2140, 589, 468, 648, 2291, 2359, 3060, 3201, 3107, 1270, 2967, 952, 3671, 3394, 1197, 597, 2139, 1394, 1968, 2929, 1617, 1302, 1124, 2065, 2987, 3675, 1291, 1948, 1376, 3363, 2302, 2944, 21, 592, 281, 2420, 1935, 1961, 2300, 3684, 377, 3061, 1206, 3545, 953, 2762, 903, 1500]",3,"['""Back to the Future"" (1985)', '""The Princess Bride"" (1987)', '""Groundhog Day"" (1993)', '""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)', '""The Big Lebowski"" (1998)', '""Goodfellas"" (1990)', '""The Truman Show"" (1998)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Breakfast Club"" (1985)']"
5863,"[910, 950, 951, 1732, 2413, 608, 1230, 1197, 2791]","[1617, 2762]",0,"['Some Like It Hot (1959)', 'The Thin Man (1934)', 'His Girl Friday (1940)', 'The Big Lebowski (1998)', 'Clue (1985)', 'Fargo (1996)', 'Annie Hall (1977)', 'The Princess Bride (1987)', 'Airplane! (1980)', 'The Grand Budapest Hotel (2014)']"
1799,"[318, 356, 2959, 858, 3147, 1682, 593, 2329, 296, 1704]","[1249, 3246, 480, 1266, 337, 523, 535, 3951, 1639, 1095, 2268, 150, 2303, 2291, 2289, 2391]",0,"['The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'Fight Club (1999)', 'The Godfather (1972)', 'The Green Mile (1999)', 'The Truman Show (1998)', 'The Silence of the Lambs (1991)', 'American History X (1998)', 'Pulp Fiction (1994)', 'Good Will Hunting (1997)']"
224,"[318, 356, 1682, 215]","[1265, 3466, 2282, 3052, 3072, 1678, 144, 2321, 3553, 1, 1079, 1653, 3793, 648, 1648, 3594, 2174, 2125, 955, 3555, 3536, 1207, 1197, 1748, 1968, 1083, 2628, 1095, 800, 1441]",0,"['""The Shawshank Redemption"" (1994)', '""Forrest Gump"" (1994)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Truman Show"" (1998)', '""Silver Linings Playbook"" (2012)', '""500 Days of Summer"" (2009)', '""Lost in Translation"" (2003)', '""The Notebook"" (2004)', '""Little Miss Sunshine"" (2006)', '""Before Sunrise"" (1995)']"
159,"[597, 539, 39, 1197, 2572, 1569, 2671]","[3255, 2710, 2683]",0,"['Pretty Woman (1990)', 'Sleepless in Seattle (1993)', 'Clueless (1995)', 'The Princess Bride (1987)', '10 Things I Hate About You (1999)', 'Legally Blonde (2001)', ""Bridget Jones's Diary (2001)"", 'Love Actually (2003)', ""My Best Friend's Wedding (1997)"", 'Notting Hill (1999)']"
1177,"[1307, 539, 1197, 2671, 1569]","[551, 858, 3457, 3429, 593, 3932, 480, 3753]",0,"['When Harry Met Sally... (1989)', 'Sleepless in Seattle (1993)', 'The Princess Bride (1987)', 'Notting Hill (1999)', 'The Notebook (2004)', 'Love Actually (2003)', ""Bridget Jones's Diary (2001)"", ""My Best Friend's Wedding (1997)"", 'The Devil Wears Prada (2006)', 'Legally Blonde (2001)']"
2156,"[1270, 356, 318, 296, 1197, 1213, 1732, 1682, 1968]","[3525, 223, 296, 2700, 1088, 2315, 2170, 1371, 1356, 2787, 1126, 2094, 1580, 1197, 1573, 288, 3173, 1136, 2901, 1350, 1302, 1014, 1223, 2078, 24, 2471, 1884, 1253, 3771, 3476, 1387, 44, 2009, 1017, 1013, 367, 910, 610, 1487, 20, 2944, 260, 1200, 3930, 2081, 1584, 3253, 161]",2,"['""Back to the Future"" (1985)', '""Forrest Gump"" (1994)', '""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)', '""The Princess Bride"" (1987)', '""Goodfellas"" (1990)', '""The Godfather"" (1972)', '""The Big Lebowski"" (1998)', '""The Truman Show"" (1998)', '""The Breakfast Club"" (1985)', 'Enjoy watching!']"
886,"[2858, 1682, 318]","[3751, 3328, 3182, 3865, 3783]",0,"['American Beauty (1999)', 'The Truman Show (1998)', 'Eternal Sunshine of the Spotless Mind (2004)', 'Lost in Translation (2003)', 'Little Miss Sunshine (2006)', 'The Shawshank Redemption (1994)', 'Silver Linings Playbook (2012)', 'Juno (2007)', 'The Grand Budapest Hotel (2014)', 'The Help (2011)']"
3943,"[318, 356, 1682, 1197, 3598]","[62, 2384, 1265, 1393, 1, 52, 1210, 1569]",0,"['The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Truman Show (1998)', 'Eternal Sunshine of the Spotless Mind (2004)', 'Little Miss Sunshine (2006)', 'Lost in Translation (2003)', 'The Princess Bride (1987)', 'The Grand Budapest Hotel (2014)', 'Amélie (2001)', 'Silver Linings Playbook (2012)']"
1672,"[296, 1732, 1265, 1213, 1270, 318, 1197, 1682, 593, 1968]","[21, 3114, 110, 518, 2433, 2794, 589]",0,"['Pulp Fiction (1994)', 'The Big Lebowski (1998)', 'Groundhog Day (1993)', 'Goodfellas (1990)', 'Back to the Future (1985)', 'The Shawshank Redemption (1994)', 'The Princess Bride (1987)', 'The Truman Show (1998)', 'The Silence of the Lambs (1991)', 'The Breakfast Club (1985)']"
